path,text,speaker
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_233.wav,کہ میں نے کریئر کی شروعات کی تھی بہت لوگوں نے مجھ سے کہا تھا کہ,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_037.wav,ہونا چاہ رہنے کا پھر تیر ما,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_109.wav,I'll talk about my reasons as a 30 year old,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_131.wav,at that time it was nice,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_038.wav,اور اجور نے تیر مار کر,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_006.wav,there's some guidelines,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_099.wav,موٹیویشن ملے گی یہ ہوتی ہے فوکس کی دن,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_116.wav,मेरे करियर की decision की वाज़ा,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_028.wav,दूसरा राजकुमार है उस राजकुमार ने कहा मुझे आसमान देख रहा है मुझे पेड़ देख रहा है मुझे आप देख रहे हो गरुदेव,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_093.wav,Right? It's not at all,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_158.wav,فٹنس سکھا کر اور سیلف ہیلپ سکھا کر لوگوں کی مدد کر کے,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_018.wav,"If you have a burning desire in your heart, God answers that desire.",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_147.wav,"I'm a romantic at heart, I don't know.",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_136.wav,"Of my 20s,",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_114.wav,Or it was when I was in a committed situation.,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_122.wav,"I didn't know how to process what was going on inside me because so much sacrifice, so much pain had gone into just",spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_036.wav,مجھے صرف اس پنجی کی آنکھ دکھائے دے رہی,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_145.wav,"रोते रोते, एडिटिंग सीखा.",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_172.wav,You have access to fame. You have access to all the sex that comes along with fame.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_082.wav,"definitely, our life's biggest performance.",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_145.wav,that particular moment with that person was still,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_129.wav,جب آپ اپنا consciousness اپنا پورا کا پورا دھیان کسی چیز میں لگا دیتے ہو نا,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_213.wav,पता है ये self-help brand हमने क्यों बना है पता हमारे हर वीडियो में हर article में हर Instagram post में value add पर इतना focus क्यों रहता है,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_206.wav,Feel like you want the divorce.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_232.wav,"उनके बार में सोचने के लिए, मैं अभी सीखना जाए।",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_101.wav,"pairs you apart in some nice ways. I think,",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_086.wav,Is that.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_132.wav,ان نیکس ٹیپ کی پڑھائی کرنے میں لگا دے تو ارجون کی طرح لگا دے تو اپنا فوکس,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_056.wav,"जिम करने लगते, वेट्स उठाने लगते,",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_116.wav,I've had two very intense and very painful relationships in my 20s.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_066.wav,Engineering College के बाद Engineering करने के बदले,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_236.wav,आपको खुद बिजनिस नहीं करना जाए आपको खुद यूट्यूब नहीं करना जाए खुद से कुछ भी नहीं करना जाए,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_130.wav,पूरा का पूरा ध्यान खुद की ग्रोथ में लगा दे तो पूरा का पूरा फोकस,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_231.wav,"और आगे के goals को define करने के लिए, draw out करने के लिए,",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_088.wav,thinking that violence will start playing when you see someone or,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_062.wav,God plans out,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_150.wav,So maybe this is a slightly selfish way of looking at life.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_073.wav,एक investor ने मुझे कहा कि यार YouTube करने लोगो आपकी startup की marketing हो जाएगी,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_172.wav,यूट्यूबर सिर्फ बिजनिस का content देगा,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_011.wav,"life through your own subjective experience. If you're lucky,",spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_087.wav,ان کی آوازیں بند ہو جاتے ہیں,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_181.wav,either of the two parents or all the relatives put together,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_208.wav,"You start thinking that, okay, this is just like a breakup.",spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_144.wav,editing के videos देखता था और साथ-साथ रोता भी था,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_245.wav,विजुलाइस करो और तीर मारो,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_163.wav,"blankets of shelter,",spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_007.wav,There are some ways to keep yourself safe.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_069.wav,who also took engineering jobs.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_057.wav,U stiezen met men er meer al poora focus daar.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_229.wav,"हर सोबर जब उठता हूँ, मैं टास्क पर फोकस करता हूँ, लर्निंग पर फोकस",spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_188.wav,میں وہی لوجک اپلائے کرتا ہوں,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_174.wav,a lot of the stable,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_175.wav,مانگ کے انیٹینمنٹ کی شروعات کی,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_098.wav,just probably hormones at play.,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_094.wav,How marriage or relationships work,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_014.wav,if a lot of other factors,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_195.wav,if you're a die-hard romantic.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_180.wav,یار میرے خود کے منٹرز نے مجھ سے یہ کہا کہ تُو چھتاپ کر رہے سب کر,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_074.wav,I didn't YouTube discover it.,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_128.wav,کوشل میڈیا کے دنیا کے بارے میں اور بھی زیادہ سکھائے,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_089.wav,there'll be a nice piano tune as you,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_064.wav,that faith in the big,spk1
data/raw/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean/If_You_re_Single___Sad__Watch_This___BeerBiceps_clean_192.wav,Which is a very cruel and extreme reality...,spk1
data/raw/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean/Yeh_Kahaani_Aapke_Ander_Aag_Laga_Degi___Mahabharata_Focus_Motivation__The_Ranveer_Show____26_clean_039.wav,"os panchico, tuclo, tuclo, meto urtia.",spk1
